time_s,volts
4.72e-05,-7.77821629e-05
4.74e-05,-7.96998561e-05
4.76e-05,-8.03740653e-05
4.78e-05,-7.97728923e-05
4.8e-05,-7.78844977e-05
4.82e-05,-7.47176264e-05
4.84e-05,-7.03018067e-05
4.86e-05,-6.46872152e-05
4.88e-05,-5.79442035e-05
4.9e-05,-5.01624882e-05
4.92e-05,-4.1450014e-05
4.94e-05,-3.19315016e-05
4.96e-05,-2.17467e-05
4.98e-05,-1.10483658e-05
5e-05,-1.08824132e-19
5.02e-05,1.12266264e-05
5.04e-05,2.24541197e-05
5.06e-05,3.35022444e-05
5.08e-05,4.41907934e-05
5.1e-05,5.43425028e-05
5.12e-05,6.37859641e-05
5.14e-05,7.23584872e-05
5.16e-05,7.99088654e-05
5.18e-05,8.62999975e-05
5.2e-05,9.14113208e-05
5.22e-05,9.51410136e-05
5.24e-05,9.7407927e-05
5.26e-05,9.81532116e-05
5.28e-05,9.73416067e-05
5.3e-05,9.49623671e-05
5.32e-05,9.10298071e-05
5.34e-05,8.55834456e-05
5.36e-05,7.8687747e-05
5.38e-05,7.04314521e-05
5.4e-05,6.09265086e-05
5.42e-05,5.03066078e-05
5.44e-05,3.87253501e-05
5.46e-05,2.63540599e-05
5.48e-05,1.33792828e-05
5.5e-05,5.26881308e-19
5.52e-05,-1.35753987e-05
5.54e-05,-2.71323378e-05
5.56e-05,-4.04534254e-05
5.58e-05,-5.33219159e-05
5.6e-05,-6.5525212e-05
5.62e-05,-7.68583494e-05
5.64e-05,-8.71274076e-05
5.66e-05,-9.615279e-05
5.68e-05,-0.00010377232
5.7e-05,-0.000109844097
5.72e-05,-0.000114249067
5.74e-05,-0.000116893261
5.76e-05,-0.000117709653
5.78e-05,-0.000116659618
5.8e-05,-0.000113733947
5.82e-05,-0.000108953399
5.84e-05,-0.00010236878
5.86e-05,-9.40605395e-05
5.88e-05,-8.41378808e-05
5.9e-05,-7.27373951e-05
5.92e-05,-6.00212377e-05
5.94e-05,-4.61748655e-05
5.96e-05,-3.14043697e-05
5.98e-05,-1.59334392e-05
6e-05,-1.88077565e-19
6.02e-05,1.61474188e-05
6.04e-05,3.22535392e-05
6.06e-05,4.80603472e-05
6.08e-05,6.33112031e-05
6.1e-05,7.77549837e-05
6.12e-05,9.11501891e-05
6.14e-05,0.000103268949
6.16e-05,0.000113900861
6.18e-05,0.000122856597
6.2e-05,0.000129971219
6.22e-05,0.00013510714
6.24e-05,0.000138156689
6.26e-05,0.000139044223
6.28e-05,0.000137727751
6.3e-05,0.000134200039
6.32e-05,0.000128489166
6.34e-05,0.000120658525
6.36e-05,0.000110806249
6.38e-05,9.90640744e-05
6.4e-05,8.55956519e-05
6.42e-05,7.05943182e-05
6.44e-05,5.42803658e-05
6.46e-05,3.68978451e-05
6.48e-05,1.8710944e-05
6.5e-05,7.7280944e-19
6.52e-05,-1.89427965e-05
6.54e-05,-3.78179423e-05
6.56e-05,-5.63233343e-05
6.58e-05,-7.41590814e-05
6.6e-05,-9.10323397e-05
6.62e-05,-0.000106662093
6.64e-05,-0.0001207838
6.66e-05,-0.000133153835
6.68e-05,-0.000143553643
6.7e-05,-0.000151793545
6.72e-05,-0.00015771612
6.74e-05,-0.000161199118
6.76e-05,-0.000162157832
6.78e-05,-0.000160546904
6.8e-05,-0.000156361515
6.82e-05,-0.000149637943
6.84e-05,-0.000140453463
6.86e-05,-0.00012892559
6.88e-05,-0.00011521067
6.9e-05,-9.95018275e-05
6.92e-05,-8.20263003e-05
6.94e-05,-6.30421968e-05
6.96e-05,-4.28347204e-05
6.98e-05,-2.17119158e-05
7e-05,-1.5366825e-18
7.02e-05,2.1961651e-05
7.04e-05,4.38257846e-05
7.06e-05,6.52427392e-05
7.08e-05,8.58660133e-05
7.1e-05,0.000105357846
7.12e-05,0.000123394723
7.14e-05,0.000139672708
7.16e-05,0.000153912534
7.18e-05,0.000165864342
7.2e-05,0.000175312007
7.22e-05,0.000182076974
7.24e-05,0.000186021532
7.26e-05,0.000187051467
7.28e-05,0.000185118051
7.3e-05,0.000180219322
7.32e-05,0.000172400631
7.34e-05,0.000161754436
7.36e-05,0.000148419334
7.38e-05,0.000132578356
7.4e-05,0.000114456515
7.42e-05,9.43176716e-05
7.44e-05,7.24607321e-05
7.46e-05,4.92152487e-05
7.48e-05,2.49364824e-05
7.5e-05,2.4993683e-18
7.52e-05,-2.52041111e-05
7.54e-05,-5.02773222e-05
7.56e-05,-7.48189422e-05
7.58e-05,-9.8432498e-05
7.6e-05,-0.000120732114
7.62e-05,-0.000141348791
7.64e-05,-0.000159936478
7.66e-05,-0.000176177843
7.68e-05,-0.000189789643
7.7e-05,-0.000200527606
7.72e-05,-0.000208190739
7.74e-05,-0.000212624989
7.76e-05,-0.000213726189
7.78e-05,-0.000211442239
7.8e-05,-0.000205774476
7.82e-05,-0.000196778201
7.84e-05,-0.000184562353
7.86e-05,-0.000169288314
7.88e-05,-0.000151167872
7.9e-05,-0.000130460351
7.92e-05,-0.000107468956
7.94e-05,-8.25363731e-05
7.96e-05,-5.6039702e-05
7.98e-05,-2.83847814e-05
8e-05,-4.45991221e-19
8.02e-05,2.86703149e-05
8.04e-05,5.71728299e-05
8.06e-05,8.50523513e-05
8.08e-05,0.000111859071
8.1e-05,0.000137155799
8.12e-05,0.000160525064
8.14e-05,0.000181575974
8.16e-05,0.00019995071
8.18e-05,0.000215330567
8.2e-05,0.000227441418
8.22e-05,0.000236058528
8.24e-05,0.000241010621
8.26e-05,0.000242183133
8.28e-05,0.000239520589
8.3e-05,0.000233028065
8.32e-05,0.000222771691
8.34e-05,0.000208878185
